time,dt,roll_wrapped_rad,roll_unwrapped_rad,droll_rad,roll_vel_rad_s
1774257627.196361,0.009470939636230469,-0.11947299435842508,-0.11947299435842508,0.00012968373102943687,0.013692805150329553
1774257627.2065065,0.010145425796508789,-0.11980245648536304,-0.11980245648536304,-0.00032946212693796273,-0.03247395757912262
1774257627.2169423,0.010435819625854492,-0.1205739228819758,-0.1205739228819758,-0.000771466396612755,-0.07392484963054224
1774257627.2262387,0.009296417236328125,-0.11995482405284195,-0.11995482405284195,0.0006190988291338434,0.0665954220207067
1774257627.2364516,0.010212898254394531,-0.11956470266855575,-0.11956470266855575,0.00039012138428620724,0.038198890713352696
1774257627.247583,0.01113128662109375,-0.11959811639921308,-0.11959811639921308,-3.3413730657336216e-05,-0.0030017851300331547
1774257627.2564712,0.00888824462890625,-0.1197744041501911,-0.1197744041501911,-0.00017628775097801308,-0.01983380952462672
1774257627.266551,0.01007986068725586,-0.11914445704853856,-0.11914445704853856,0.0006299471016525393,0.06249561588177426
1774257627.2765005,0.009949445724487305,-0.11869163934947687,-0.11869163934947687,0.00045281769906169167,0.04551185177554455
1774257627.28878,0.012279510498046875,-0.1191229330523457,-0.1191229330523457,-0.00043129370286883184,-0.03512303710619666
1774257627.2994843,0.010704278945922852,-0.11977715055917525,-0.11977715055917525,-0.0006542175068295492,-0.061117382136116116
1774257627.307357,0.007872819900512695,-0.11978594186023979,-0.11978594186023979,-8.7913010645424e-06,-0.0011166648260263
1774257627.3166554,0.009298324584960938,-0.11968984255145192,-0.11968984255145192,9.609930878787254e-05,0.010335120903748947
1774257627.3307858,0.014130353927612305,-0.11993616266466148,-0.11993616266466148,-0.00024632011320956104,-0.01743198468144692
1774257627.3372386,0.006452798843383789,-0.11935287666749667,-0.11935287666749667,0.0005832859971648119,0.0903927135064607
1774257627.3467214,0.009482860565185547,-0.11912646578721835,-0.11912646578721835,0.0002264108802783188,0.02387579978867787
1774257627.3606298,0.01390838623046875,-0.11987305161166542,-0.11987305161166542,-0.0007465858244470741,-0.053678824564962646
1774257627.366798,0.0061681270599365234,-0.11908201573724675,-0.11908201573724675,0.0007910358744186718,0.12824571652497904
1774257627.377089,0.010291099548339844,-0.11964235274575992,-0.11964235274575992,-0.0005603370085131704,-0.05444870160677473
1774257627.386857,0.009768009185791016,-0.12001098115986546,-0.12001098115986546,-0.00036862841410553737,-0.03773833614343451
